"","GCI.type","Type","IsMetro","Units","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","var"
"1","Asian Anchor","EMPL",2,2000,0.0222902604399409,0.0227690049806351,0.0240229393793886,0.0246127254633079,0.0264078230717073,0.0274437750907331,0.0278327170536101,0.0284553314905175,0.0292529762312887,0.0300298323841016,0.0307320320387398,0.0313762365872808,0.0319319722569879,0.0326059732127778,0.0326502530646059,0.0328931840776749,0.0335324149839568,0.0337823862040267,"share"
"2","Asian Anchor","NGDP",2,2e+06,0.0797213151555121,0.0811080089051643,0.0833478021126298,0.08585521491613,0.0878709217307385,0.0873262270808783,0.0859549177070531,0.0835054181240303,0.0796651856591033,0.0788156371493925,0.0765676718950699,0.0744143937886371,0.0738761912042922,0.0734483104843816,0.0735945128315922,0.074744592770203,0.0752880799753977,0.0752815917551614,"share"
"3","Asian Anchor","POP",2,2000,0.0231101841612497,0.0235012599984239,0.0240694156231248,0.0251911449639576,0.0259040789047536,0.0267322133543198,0.0275549163758892,0.0285046429676567,0.0294338663761173,0.0303706635593315,0.031340547424831,0.0319063197724203,0.0323343355163362,0.0327357192010301,0.0329046359486857,0.0328063322401514,0.0327077511231138,0.0330080278465848,"share"
"4","Asian Anchor","RGDP",2,2e+06,0.0719117624502536,0.0737231082910984,0.0752591902490411,0.0764212443245725,0.0792380825383113,0.0792462269923584,0.0787491801235966,0.0791926320246498,0.0791013292551419,0.0788156371493924,0.0786036895027046,0.0776096407345975,0.0774402699241588,0.0773901019976235,0.0772783113110142,0.0772661614379728,0.0772851923306647,0.0773514052266484,"share"
"5","Emerging Gateways","EMPL",18,18000,0.0526936832169793,0.0521341653011154,0.0519472906943083,0.0523660962332691,0.054048595310253,0.0570747938732823,0.0605320511741551,0.0634539520629414,0.0675763225671059,0.0713799477777642,0.0755689759421105,0.0770218559993136,0.0792631289419064,0.0822124687875005,0.084224914620989,0.0853365923245311,0.0871799995627238,0.0883056925683278,"share"
"6","Emerging Gateways","NGDP",10,1e+07,0.146449780230823,0.149295111516992,0.153462761849845,0.159981388789433,0.161904805263844,0.164496474834335,0.162852513527372,0.156505505366271,0.157312611873589,0.159812316152553,0.160942717855059,0.162579439150879,0.165531907613107,0.167678477911105,0.170303239547343,0.171863857538128,0.173737600215354,0.174374411329673,"share"
"7","Emerging Gateways","POP",10,10000,0.0749932047143824,0.0753202281271998,0.0753514825997229,0.0754536279971112,0.0760835022562384,0.0767001423883163,0.077943904459932,0.0793122693068325,0.0808228111370374,0.0823071432213042,0.0840213052863664,0.0845837965461765,0.085147822246385,0.0856195926133892,0.0862173314501479,0.0873658211843866,0.0878131844011818,0.0881646818093649,"share"
"8","Emerging Gateways","RGDP",10,1e+07,0.123268103832648,0.127525821964626,0.131836466733312,0.137670737482773,0.144088559594158,0.14717145400348,0.1495992654434,0.150860089493966,0.155812818844369,0.159812316152553,0.164815827815734,0.1692151454604,0.174401206571025,0.180501626542874,0.183617824877416,0.18742325010566,0.190193975976766,0.190652599167172,"share"
"9","Rising stars","EMPL",182,182000,0.116987863781886,0.117891036857638,0.121028649784712,0.126191744922986,0.132558484379707,0.139925278916648,0.145629623230544,0.156522900358886,0.161793948836575,0.172251612915319,0.185777515074823,0.189473698237368,0.195288025975589,0.201130787075341,0.206523278048474,0.210156752705805,0.214688060753287,0.218182913176366,"share"
"10","Rising stars","NGDP",91,9.1e+07,0.471375751664664,0.472654501648687,0.48125710324676,0.496889285567885,0.505400261146853,0.518068056995436,0.521534926785911,0.50721631803973,0.511390805331571,0.521493961435345,0.524045766133865,0.527883969053782,0.531632638898527,0.528288262770721,0.524964520227179,0.521619905450865,0.517270509621767,0.518167766700081,"share"
"11","Rising stars","POP",91,91000,0.379813329553929,0.381499470047787,0.381903473318594,0.382362442997234,0.383950148916794,0.385279838441279,0.386903021696884,0.388619387821766,0.390012285142126,0.391280421277022,0.392603810988116,0.392262374317886,0.392054660709625,0.39188335978598,0.392121028639977,0.392550008349785,0.393468352029858,0.393317839481309,"share"
"12","Rising stars","RGDP",91,9.1e+07,0.398147636212221,0.408385619378275,0.420267200531978,0.436993834256363,0.458319566605545,0.473949943992045,0.484172732134454,0.490995416787747,0.507378614226419,0.521493961435345,0.53641838023821,0.551320943338484,0.567931457579449,0.576524630076902,0.584475069742608,0.590644434405168,0.59327194992145,0.593032006399079,"share"
"13","Asian Anchor","EMPL",2,2000,100,103.156711435984,109.559883158093,112.948179763868,122.053684284019,127.49588396599,129.876151365694,133.388896882025,137.570384791304,141.717167638002,145.560796032999,149.227147962167,152.434654243696,156.206140926544,156.979108989267,158.552428846402,161.95087442072,163.564336339083,"index"
"14","Asian Anchor","NGDP",2,2e+06,100,112.649653832758,128.260654008966,148.261385669834,171.704850712302,196.01981046279,224.169953356864,255.337393390447,271.894709132813,296.189269397784,322.18058610726,349.784276604715,381.46376063744,415.445245536762,454.599786885397,498.835032097785,543.070282454271,590.091236190824,"index"
"15","Asian Anchor","POP",2,2000,100,102.322568801956,105.421885718449,110.977358183164,114.775824054633,119.129567500219,123.506874984261,128.498951077386,133.445251500479,138.470296587781,143.692891021293,147.112898815453,149.932130856215,152.635116326633,154.229884493112,154.515952140131,154.746086654753,156.828809720105,"index"
"16","Asian Anchor","RGDP",2,2e+06,100,111.034074880939,123.68035228282,138.17243886353,157.731397305799,175.731005555172,196.818726221792,226.119832197968,247.449543262096,269.936634846422,297.740108235603,322.02134003481,346.46142975914,373.139024888468,399.760863625906,427.344368470704,456.211811507198,487.726696091475,"index"
"17","Emerging Gateways","EMPL",18,18000,100,99.9154037795731,100.217808939866,101.654431274682,105.671844919118,112.163938642601,119.485659002163,125.826261857146,134.433044612669,142.495899869444,151.409549851461,154.959267205342,160.06108835538,166.607755008919,171.298071627182,174.003853781209,178.111480722921,180.860439098082,"index"
"18","Emerging Gateways","NGDP",10,1e+07,100,112.874915747598,128.554723419522,150.38917189681,172.219709054411,201.000711045688,231.199488494376,260.504431267393,292.268126784242,326.928593281322,368.647239671023,416.001298757084,465.281987022123,516.291572732165,572.654176686146,624.377797064152,682.196308878052,744.0444067066,"index"
"19","Emerging Gateways","POP",10,10000,100,101.058630250389,101.704116003615,102.434934750995,103.885337351145,105.332480124495,107.660324988423,110.180781027257,112.920100446297,115.643536183839,118.713366821763,120.18290787482,121.670645224477,123.023258449159,124.533878277427,126.805677975823,128.029547454765,129.086970082576,"index"
"20","Emerging Gateways","RGDP",10,1e+07,100,112.046937210853,126.393850611602,145.210551452574,167.325800044627,190.389326644628,218.121790593132,251.291301407065,284.351338386024,319.307339893327,364.202182384889,409.597624053883,455.183737731149,507.709851322338,554.123676641496,604.729743841743,654.962157180763,701.294232929703,"index"
"21","Rising stars","EMPL",182,182000,100,101.767371153894,105.169046233446,110.337923511949,116.734748986569,123.857647288952,129.478560980584,139.800347361617,144.974460272332,154.884224312345,167.656589063251,171.69998284549,177.626563741971,183.592028782335,189.190205880153,193.012157418513,197.560760922452,201.276634244558,"index"
"22","Rising stars","NGDP",91,9.1e+07,100,111.024068098423,125.25171105644,145.12031883519,167.02445407683,196.675063959165,230.036783986737,262.301152865129,295.183661810115,331.446494642921,372.932607982983,419.651737151316,464.26681480784,505.370819047501,548.42969550111,588.76032735447,631.036895728717,686.922879492265,"index"
"23","Rising stars","POP",91,91000,100,101.066547559698,101.777562670699,102.493165602614,103.511907008661,104.470610745673,105.518196923091,106.596180686579,107.588859034119,108.54845917428,109.525796371948,110.048441516543,110.61412748116,111.178958691734,111.831662303183,112.497750547034,113.269243760445,113.705930950743,"index"
"24","Rising stars","RGDP",91,9.1e+07,100,111.090999133903,124.74480273902,142.704746698537,164.781473747398,189.827036349247,218.562924908436,253.213645927808,286.675661934188,322.592683892485,366.9896801979,413.170458002817,458.922923079886,502.063801510919,546.090264231044,590.025192400199,632.52812286579,675.370744636191,"index"
